Company,Category,Category2,Sub-Category,Link,
FactGem,Analytics,Analytic applications / Graph + Machine Learning,,https://factgem.com,
Governor,Analytics,Analytic applications / Graph + Machine Learning,,https://www.governorsoftware.com,
Graphlytic,Analytics,Analytic applications / Graph + Machine Learning,,https://graphlytic.biz,
Hubscope,Analytics,Analytic applications / Graph + Machine Learning,,http://hubscope.com,
Innointel,Analytics,Analytic applications / Graph + Machine Learning,,http://innointel.com,
intelligentTag,Analytics,Analytic applications / Graph + Machine Learning,,https://www.intelligenttag.com,
"IntelliPeak Solutions, Inc.",Analytics,Analytic applications / Graph + Machine Learning,,https://www.intellipeaksolutions.com,
TalkingGraph,Analytics,Analytic applications / Graph + Machine Learning,,https://talkingraph.com/en-EN.html,
Kernix,Analytics,Analytic applications / Graph + Machine Learning,,https://www.kernix.com,
Millersoft,Analytics,Analytic applications / Graph + Machine Learning,,https://www.millersoft.ltd.uk,
muutto®,Analytics,Analytic applications / Graph + Machine Learning,,https://muutto.de,
Pondera Solutions,Analytics,Analytic applications / Graph + Machine Learning,,https://www.ponderasolutions.com,
SQH Tech,Analytics,Analytic applications / Graph + Machine Learning,,http://www.sqhtech.com/,
Paterva,Analytics,Analytic applications / Graph + Machine Learning,,https://www.paterva.com/,
Palantir,Analytics,Analytic applications / Graph + Machine Learning,,http://palantir.com,
Emicien,Analytics,Analytic applications / Graph + Machine Learning,,https://emcien.com,
7vortex,Analytics,Analytic applications / Graph + Machine Learning,,https://www.7vortex.com,
SemSpect,Analytics,Analytic applications / Graph + Machine Learning,,http://www.semspect.de,
Ayasdi,Analytics,Analytic applications / Graph + Machine Learning,,https://www.ayasdi.com,
Expero,Analytics,Analytic applications / Graph + Machine Learning,,https://www.experoinc.com,
Datameer,Analytics,Analytic applications / Graph + Machine Learning,,https://www.datameer.com,
DataChemist,Analytics,Analytic applications / Graph + Machine Learning,,https://www.datachemist.com,
Grafo,Analytics,Knowledge Graph Solutions,,http://gra.fo,
Hume,Analytics,Knowledge Graph Solutions,,http://hume.ga,
PoolParty,Analytics,Knowledge Graph Solutions,,http://poolparty.biz,
ClearGraph,Analytics,Knowledge Graph Solutions,,https://cleargraph.io,
UniGraph.io,Analytics,Knowledge Graph Solutions,,https://unigraph.io,
Cayley,Analytics,Knowledge Graph Solutions,,http://cayley.io,
GRAKN.AI,Analytics,Knowledge Graph Solutions,,http://grakn.ai,
AllegroGraph,Analytics,Knowledge Graph Solutions,,https://franz.com/agraph/allegrograph/,
Stardog,Analytics,Knowledge Graph Solutions,,http://stardog.com,
KeyLines,Analytics,Visualisation,,https://cambridge-intelligence.com/keylines/,
Graphistry,Analytics,Visualisation,,https://www.graphistry.com/,
Kineviz,Analytics,Visualisation,,https://www.kineviz.com/graphxr/,
Linkurious,Analytics,Visualisation,,http://linkurio.us,
Tom Sawyer Software,Analytics,Visualisation,,https://www.tomsawyer.com,
yWorks,Analytics,Visualisation,,https://www.yworks.com,
Cytoscape,Analytics,Visualisation,,https://cytoscape.org,
vis.js,Analytics,Visualisation,,http://visjs.org,
Popoto.js,Analytics,Visualisation,,http://www.popotojs.com,
Sigma.js,Analytics,Visualisation,,http://sigmajs.org,
Arcade Analytics,Analytics,Visualisation,,https://arcadeanalytics.com,
Alchemy.js,Analytics,Visualisation,,http://graphalchemist.github.io/Alchemy/#/,
Gephi,Analytics,Visualisation,,https://gephi.org,
D3.js,Analytics,Visualisation,,https://d3js.org,
Plotly.js,Analytics,Visualisation,,https://plot.ly/javascript/,
Neo4j Bloom,Analytics,Visualisation,,https://neo4j.com/bloom/,
OpenCypher,Graph Query Languages,,,http://www.opencypher.org,
SparQL,Graph Query Languages,,,https://www.w3.org/TR/rdf-sparql-query/,
GraphQL,Graph Query Languages,,,https://graphql.org,
Gremlin,Graph Query Languages,,,http://tinkerpop.apache.org/gremlin.html,
GQL,Graph Query Languages,,,https://gql.today,
PGQL,Graph Query Languages,,,http://pgql-lang.org,
G-CORE,Graph Query Languages,,,http://g-core.org,
Graph Databases,Information resources,Books,,https://www.oreilly.com/library/view/graph-databases-2nd/9781491930885/,
Graph Data Modeling for NoSQL and SQL: Visualize Structure and Meaning,Information resources,Books,,https://www.oreilly.com/library/view/graph-data-modeling/9781634621236/,
Neo4j in Action,Information resources,Books,,https://www.goodreads.com/book/show/15743991-neo4j-in-action,
Practical Neo4j,Information resources,Books,,https://www.oreilly.com/library/view/practical-neo4j/9781484200223/,
Neo4j High Performance,Information resources,Books,,https://www.oreilly.com/library/view/neo4j-high-performance/9781783555154/,
Neo4j Graph Data Modeling,Information resources,Books,,https://www.oreilly.com/library/view/neo4j-graph-data/9781784393441/,
Neo4j Essentials,Information resources,Books,,https://www.oreilly.com/library/view/neo4j-essentials/9781783555178/,
Beginning Neo4j,Information resources,Books,,https://www.oreilly.com/library/view/beginning-neo4j/9781484212271/,
Neo4j Cookbook,Information resources,Books,,https://www.oreilly.com/library/view/neo4j-cookbook/9781783287253/,
Learning Neo4j 3.x – Second Edition,Information resources,Books,,https://www.packtpub.com/big-data-and-business-intelligence/learning-neo4j-3x-second-edition,
Building Web Applications with Python and Neo4j,Information resources,Books,,https://www.packtpub.com/application-development/building-web-applications-python-and-neo4j/?utm_source=POD&utm_medium=referral&utm_campaign=1783983981,
Learning Cypher,Information resources,Books,,https://www.packtpub.com/hardware-and-creative/learning-cypher,
Seven Databases in Seven Weeks,Information resources,Books,,http://www.amazon.com/gp/product/1934356921/ref=as_li_tf_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1934356921&linkCode=as2&tag=neotech05-20,
Visualizing Graph Data,Information resources,Books,,https://www.manning.com/books/visualizing-graph-data,
Graph-Powered Machine Learning,Information resources,Books,,https://www.manning.com/books/graph-powered-machine-learning,
Neo4j : des données et des graphes - II. Déploiement,Information resources,Books,,https://www.amazon.com/gp/product/B0786LZL6Y/ref=dbs_a_def_rwt_bibl_vppi_i0,
Neo4j 2.0 – Eine Graphdatenbank für alle,Information resources,Books,,https://neo4j.com/neo4j-graphdatenbank-book/,
Good Relationships - The Spring Data Neo4j Guide Book,Information resources,Books,,http://www.lulu.com/shop/michael-hunger-and-david-montag-and-andreas-kollegger/good-relationships-the-spring-data-neo4j-guide-book/paperback/product-20201195.html,
Structr-Quelloffenes Daten-CMS auf Neo4j-Basis,Information resources,Books,,https://entwickler.de/press/structr-126647.html,
